logKd,LogKow,E,S,A,B,V
2.33,3.52,1.65,1.63,0.0,0.62,1.7391
2.45,3.52,1.65,1.63,0.0,0.62,1.7391
1.93,3.52,1.65,1.63,0.0,0.62,1.7391
2.28,3.52,1.65,1.63,0.0,0.62,1.7391
2.48,3.52,1.65,1.63,0.0,0.62,1.7391
4.84,4.35,2.06,1.29,0.0,0.29,1.4544
4.17,4.35,2.06,1.29,0.0,0.29,1.4544
4.13,4.35,2.06,1.29,0.0,0.29,1.4544
3.15,4.35,2.06,1.29,0.0,0.29,1.4544
2.82,0.48,1.89,2.23,0.58,1.29,1.7244
3.34,2.6,1.84,1.43,0.44,1.31,2.148
3.5,5.29,1.83,1.5,0.1,0.82,2.2647
2.34,0.0,2.2,2.34,0.7,2.52,2.3047
2.47,0.0,2.2,2.34,0.7,2.52,2.3047
3.65,3.17,1.34,0.92,0.0,0.2,1.0854
3.8,3.17,1.34,0.92,0.0,0.2,1.0854
3.57,4.02,1.59,1.06,0.0,0.25,1.3565
3.89,4.02,1.59,1.06,0.0,0.25,1.3565
4.22,4.8,2.38,1.55,0.0,0.24,1.5846
4.3,4.8,2.38,1.55,0.0,0.24,1.5846
4.82,4.93,2.81,1.71,0.0,0.28,1.5846
4.82,4.93,2.81,1.71,0.0,0.28,1.5846
3.62,3.17,1.34,0.92,0.0,0.2,1.0854
3.55,3.17,1.34,0.92,0.0,0.2,1.0854
3.8,4.02,1.59,1.06,0.0,0.25,1.3565
3.68,4.02,1.59,1.06,0.0,0.25,1.3565
4.02,4.8,2.38,1.55,0.0,0.24,1.5846
4.03,4.8,2.38,1.55,0.0,0.24,1.5846
4.32,4.93,2.81,1.71,0.0,0.28,1.5846
4.19,4.93,2.81,1.71,0.0,0.28,1.5846
3.92,3.17,1.34,0.92,0.0,0.2,1.0854
4.04,3.17,1.34,0.92,0.0,0.2,1.0854
4.0,4.02,1.59,1.06,0.0,0.25,1.3565
4.3,4.02,1.59,1.06,0.0,0.25,1.3565
4.09,4.8,2.38,1.55,0.0,0.24,1.5846
4.56,4.8,2.38,1.55,0.0,0.24,1.5846
4.94,4.93,2.81,1.71,0.0,0.28,1.5846
4.63,4.93,2.81,1.71,0.0,0.28,1.5846
4.12,3.17,1.34,0.92,0.0,0.2,1.0854
3.98,3.17,1.34,0.92,0.0,0.2,1.0854
3.98,4.02,1.59,1.06,0.0,0.25,1.3565
3.81,4.02,1.59,1.06,0.0,0.25,1.3565
4.15,4.8,2.38,1.55,0.0,0.24,1.5846
4.56,4.8,2.38,1.55,0.0,0.24,1.5846
5.12,4.93,2.81,1.71,0.0,0.28,1.5846
5.12,4.93,2.81,1.71,0.0,0.28,1.5846
4.05,3.17,1.34,0.92,0.0,0.2,1.0854
4.08,3.17,1.34,0.92,0.0,0.2,1.0854
4.08,4.02,1.59,1.06,0.0,0.25,1.3565
4.12,4.02,1.59,1.06,0.0,0.25,1.3565
4.39,4.8,2.38,1.55,0.0,0.24,1.5846
4.05,4.8,2.38,1.55,0.0,0.24,1.5846
