logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
4.42,Pristine,DI,1.05,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
2.75,Pristine,Freshwater,0.95,0.2341,150.0,0.48,1.89,2.23,0.58,1.29,1.7244,6.0,0.03,25.0
2.45,Pristine,DI,0.95,,150.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
1.95,Pristine,DI,1.05,,250.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
2.21,Pristine,DI,1.4,,230.0,5.8,1.35,0.96,1.15,0.23,2.2574,7.0,0.0,25.0
0.08,Pristine,DI,0.95,12.1,5000.0,1.55,2.0,1.45,0.45,1.0,1.3613,5.85,0.0,25.0
2.78,Pristine,DI,0.95,12.1,5000.0,3.59,1.87,1.17,0.18,0.97,1.995,5.85,0.0,25.0
0.9,Pristine,DI,0.95,12.1,5000.0,2.29,0.69,1.84,0.0,1.18,2.3154,5.85,0.0,25.0
1.27,Aged,DI,0.95,13.6,5000.0,1.55,2.0,1.45,0.45,1.0,1.3613,5.85,0.0,25.0
3.0,Aged,DI,0.95,13.6,5000.0,3.59,1.87,1.17,0.18,0.97,1.995,5.85,0.0,25.0
1.77,Aged,DI,0.95,13.6,5000.0,2.29,0.69,1.84,0.0,1.18,2.3154,5.85,0.0,25.0
-0.94,Pristine,DI,1.05,0.93,100.0,2.95,1.6,1.58,0.26,1.28,2.1882,7.0,0.0,25.0
-0.14,Pristine,DI,1.05,0.93,100.0,3.66,1.83,1.8,0.34,1.11,2.2519,7.0,0.0,25.0
4.37,Pristine,SF,0.95,2.088,154.35,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.37,Pristine,F,0.95,2.088,154.35,3.93,1.03,0.86,0.0,0.0,1.0836,7.23,0.0036,25.0
4.34,Pristine,SF,0.95,2.088,154.35,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.9,Pristine,F,0.95,2.088,154.35,3.93,0.98,0.73,0.0,0.0,1.0836,7.23,0.0036,25.0
3.74,Pristine,SF,0.95,2.088,154.35,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.06,Pristine,F,0.95,2.088,154.35,3.93,0.98,0.81,0.0,0.0,1.0836,7.23,0.0036,25.0
4.46,Pristine,SF,0.95,2.088,154.35,4.99,1.33,0.92,0.06,0.0,1.3284,7.23,0.0036,25.0
